ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
199;Meg 2: The Trench;87.021;475.593;9466865;47709568;5;12;August;116;278
200;Teenage Mutant Ninja Turtles: Mutant Mayhem;32.571;169.998;3312038;16199740;7,2;10;August;99;273
201;The Awakening of the Mini World;2.160;5.330;215705;484548;6,5;2;August;98;106
202;Nefes Alma;1.888;3.929;222456;428025;4,9;2;August;97;60
203;Mir Anka;855;1.676;88181;164276;3,7;1;August;78;40
204;El Ruby House;5.939;20.888;676762;2244186;6,6;7;August;100;32
205;See You on Venus;755;1.680;84695;171930;6;2;August;94;30
206;Other People’s Children;327;1.163;1163;1163;6,8;6;August;104;30
207;Haunted Mansion;6.852;17.264;690707;1597547;6;3;August;123;163
208;Little Eggs: An African Rescue;6.486;17.155;659495;1618071;5,2;6;August;88;144
209;Ehl-i Cin: Intikam;4.907;12.068;482214;1052092;3;6;August;92;128
210;Bıcırıklar: Yeni Yuvamız;2.545;9.433;250401;815929;4,1;14;August;81;100
211;Sound of Silence;1.474;6.134;144681;592355;4;3;August;93;65
212;Oda;1.683;3.752;169244;347789;6,8;3;August;90;56
213;Shadow;305;526;32843;55381;4,6;1;August;90;33
214;My Uncle;243;534;23645;48585;7,7;1;August;116;29
215;Monsieur Hulot's Holiday;183;333;17488;30569;7,3;1;August;83;18
216;Playtime;266;501;25190;46523;7,8;1;August;155;17
217;Borcumuz Borc;28;36;2131;2489;1;1;August;73;8
218;Blue Beetle;20.418;57.985;2303843;6009517;5,9;5;August;127;293
219;Rally Road Racers;6.680;18.402;685960;1779519;5,2;9;August;90;153
220;Havas Ilm-i Cin;3.295;6.205;339024;595658;3;2;August;85;91
221;The Collective;1.614;2.851;186521;303467;3,3;1;August;89;89
222;The Everlasting Story;1.905;4.944;178449;443589;5,6;4;August;90;78
223;Quicksand;2.399;5.648;248991;526548;4,3;4;August;86;75
224;Ifrit-i Musallat;2.079;3.779;209608;359969;2,9;2;August;90;72
225;Kaçak Avcılar;243;538;22304;45910;1;1;August;76;30
226;Suna;239;574;24056;50278;6,3;3;August;105;27
227;Carmen;386;1.310;45050;144005;5,7;5;August;116;20
228;Lie With Me;219;634;22023;63050;7,5;3;August;98;18
229;Gran Turismo;13.416;41.633;1655080;4706632;7,1;8;August;135;267
230;Efsunlu 3: Muska;6.906;16.541;679272;1530515;4,4;4;August;87;140
231;Space Pups;4.265;11.063;422869;1033137;4,9;3;August;92;127
232;The Last Voyage of the Demeter;4.681;11.048;517584;1155051;6,1;3;August;118;103
233;Otoban Katilleri;1.070;2.236;107907;211669;5,4;2;August;94;86
234;The Wandering Earth 2;882;1.558;105695;177089;6,7;1;August;173;61
235;To Catch a Killer;1.395;2.890;164012;322092;6,6;3;August;119;54
236;Butterfly Vision;145;507;14988;43658;6,5;4;August;108;27
237;Doru Macera Adası;29.789;139.816;2817917;12402808;4,3;20;August;310;68
238;The Equalizer 3;21.697;78.334;2573767;8472165;6,8;7;September;109;292
239;Olumune ask;5.631;13.534;529757;1158324;3,5;3;September;86;182
240;Talk to me;12.112;50.457;1300860;4979463;7,1;11;September;94;157
241;Dabbetu'l-Arz: Kiyamet;5.267;13.165;531051;1236482;3,6;3;September;80;102
242;Para Konuşur;350;725;35839;67510;4,2;1;September;93;64
243;Hunted;248;466;26118;46764;3,3;1;September;92;31
244;Hırcın;296;1.206;29771;106533;6,9;5;September;84;27
